Age,Language,Sex,Marital,Has-Credit,Field,Month-of-birth,Day-of-birth,Region,Number_of_credits,Linked-cards,INPS_mln_sum,INPS-yes-no,Score-level,Score-class,Score_point,Changed-phone-number,class-label
40,1.0,2.0,5.0,1.0,0.0,6.0,1.0,12.0,1.0,1.0,3.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,4.0,12.0,2.0,13.0,1.0,1.0,2.3,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,13.0,3.0,2.0,14.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,0.0,8.0,1.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
15,1.0,2.0,5.0,1.0,0.0,7.0,2.0,12.0,1.0,1.0,1.1,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,16.0,3.0,2.0,7.0,1.0,1.0,2.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,6.0,1.0,13.0,4.0,2.0,12.0,1.0,1.0,3.6,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,12.0,3.0,1.0,0.0,1.0,1.0,86.3,1.0,4.0,11.0,379.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,12.0,2.0,12.0,1.0,1.0,1.7,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,1.0,12.0,1.0,8.0,1.0,1.0,2.8,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,4.0,10.0,2.0,12.0,1.0,1.0,2.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,4.0,4.0,2.0,12.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,10.0,8.0,2.0,13.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0
15,1.0,1.0,5.0,1.0,14.0,1.0,1.0,0.0,1.0,1.0,0.9,1.0,4.0,11.0,274.0,0.0,1
40,2.0,2.0,4.0,1.0,14.0,6.0,2.0,13.0,1.0,1.0,1.1,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,1.0,12.0,2.0,12.0,1.0,1.0,3.6,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,10.0,6.0,1.0,2.0,1.0,1.0,1.9,1.0,4.0,0.0,0.0,0.0,1
40,1.0,1.0,7.0,1.0,13.0,7.0,1.0,13.0,1.0,1.0,1.8,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,12.0,1.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
15,1.0,1.0,5.0,1.0,14.0,5.0,1.0,6.0,1.0,1.0,1.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,13.0,8.0,1.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,13.0,7.0,1.0,0.0,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,7.0,1.0,13.0,2.0,1.0,13.0,1.0,1.0,2.1,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,7.0,1.0,10.0,12.0,2.0,8.0,1.0,1.0,1.1,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,4.0,4.0,2.0,12.0,5.0,1.0,1.6,1.0,0.0,6.0,0.0,0.0,1
15,1.0,2.0,4.0,1.0,17.0,7.0,1.0,13.0,1.0,1.0,1.6,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,4.0,1.0,22.0,5.0,2.0,13.0,1.0,1.0,1.8,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,2.0,11.0,8.0,2.0,13.0,1.0,1.0,2.5,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,1.0,1.0,16.0,12.0,1.0,12.0,1.0,1.0,1.6,1.0,0.0,0.0,0.0,0.0,1
40,2.0,2.0,4.0,1.0,4.0,9.0,2.0,12.0,1.0,1.0,2.7,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,6.0,1.0,11.0,12.0,1.0,12.0,1.0,1.0,0.8,1.0,4.0,11.0,379.0,0.0,1
40,1.0,2.0,1.0,1.0,22.0,8.0,2.0,12.0,1.0,1.0,86.3,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,7.0,12.0,1.0,13.0,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,10.0,3.0,1.0,5.0,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,4.0,11.0,2.0,13.0,5.0,1.0,3.2,1.0,4.0,0.0,294.0,0.0,1
40,1.0,2.0,5.0,1.0,10.0,11.0,2.0,11.0,1.0,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0
40,1.0,1.0,6.0,1.0,10.0,8.0,1.0,12.0,1.0,1.0,1.6,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,10.0,6.0,1.0,4.0,1.0,1.0,2.1,1.0,0.0,0.0,0.0,0.0,0
40,1.0,2.0,4.0,1.0,13.0,5.0,2.0,13.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,7.0,1.0,13.0,7.0,2.0,13.0,1.0,1.0,2.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,12.0,2.0,12.0,1.0,1.0,1.7,1.0,0.0,0.0,0.0,0.0,1
15,1.0,1.0,5.0,1.0,0.0,10.0,2.0,12.0,1.0,1.0,2.5,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,11.0,12.0,1.0,12.0,1.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,1
15,1.0,1.0,4.0,1.0,13.0,5.0,2.0,13.0,1.0,1.0,2.5,1.0,0.0,0.0,0.0,0.0,0
40,1.0,1.0,4.0,1.0,0.0,12.0,2.0,13.0,1.0,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0
40,2.0,2.0,4.0,1.0,11.0,9.0,2.0,13.0,1.0,1.0,1.8,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,12.0,1.0,13.0,1.0,1.0,3.4,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,15.0,1.0,1.0,12.0,1.0,1.0,3.5,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,6.0,1.0,1.0,3.0,2.0,13.0,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0
40,2.0,1.0,4.0,1.0,13.0,8.0,2.0,13.0,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,14.0,7.0,1.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,20.0,5.0,1.0,9.0,1.0,1.0,3.7,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,5.0,1.0,7.0,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,4.0,1.0,13.0,3.0,1.0,13.0,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,6.0,1.0,16.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,11.0,379.0,0.0,1
40,1.0,1.0,5.0,1.0,17.0,12.0,2.0,12.0,1.0,1.0,3.9,1.0,0.0,0.0,0.0,0.0,0
40,1.0,1.0,6.0,1.0,3.0,8.0,1.0,13.0,1.0,1.0,3.6,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,13.0,4.0,2.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,10.0,12.0,1.0,13.0,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,13.0,7.0,1.0,12.0,1.0,1.0,3.1,1.0,0.0,0.0,0.0,0.0,1
15,1.0,2.0,5.0,1.0,14.0,2.0,1.0,0.0,1.0,1.0,2.2,1.0,4.0,11.0,338.23468,0.0,1
40,1.0,2.0,5.0,1.0,10.0,4.0,1.0,12.0,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,4.0,1.0,13.0,1.0,1.0,2.6,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,10.0,1.0,12.0,1.0,1.0,86.3,1.0,0.0,0.0,0.0,0.0,1
15,1.0,2.0,4.0,1.0,11.0,1.0,2.0,11.0,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,10.0,9.0,2.0,12.0,1.0,1.0,86.3,1.0,0.0,0.0,0.0,0.0,1
15,1.0,1.0,6.0,1.0,12.0,7.0,1.0,6.0,1.0,1.0,1.4,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,1.0,1.0,12.0,1.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,0.0,9.0,2.0,12.0,1.0,1.0,1.7,1.0,0.0,0.0,0.0,0.0,1
15,1.0,2.0,4.0,1.0,10.0,12.0,2.0,13.0,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,13.0,1.0,2.0,12.0,1.0,1.0,4.3,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,14.0,6.0,1.0,12.0,1.0,1.0,2.2,1.0,0.0,0.0,0.0,0.0,1
40,2.0,2.0,4.0,1.0,0.0,7.0,1.0,13.0,1.0,1.0,3.2,1.0,0.0,0.0,0.0,0.0,1
15,1.0,1.0,7.0,1.0,10.0,3.0,2.0,13.0,1.0,1.0,1.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,22.0,6.0,1.0,13.0,1.0,1.0,0.9,1.0,0.0,10.0,0.0,0.0,1
40,2.0,2.0,5.0,1.0,0.0,4.0,1.0,12.0,1.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0
40,1.0,1.0,5.0,1.0,4.0,7.0,1.0,12.0,1.0,1.0,1.4,1.0,3.0,0.0,379.0,0.0,1
15,1.0,1.0,4.0,1.0,0.0,12.0,2.0,11.0,1.0,1.0,4.5,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,0.0,1.0,2.0,14.0,1.0,1.0,1.5,1.0,0.0,0.0,0.0,1.0,1
40,1.0,1.0,5.0,1.0,13.0,9.0,1.0,12.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1
15,1.0,1.0,7.0,1.0,11.0,9.0,2.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,10.0,1.0,1.0,12.0,1.0,1.0,1.6,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,0.0,11.0,2.0,13.0,5.0,1.0,1.7,1.0,0.0,0.0,0.0,3.0,1
40,1.0,2.0,5.0,1.0,13.0,7.0,1.0,12.0,1.0,1.0,1.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,2.0,4.0,11.0,1.0,12.0,1.0,1.0,1.0,1.0,4.0,0.0,379.0,0.0,1
40,1.0,2.0,5.0,1.0,4.0,4.0,1.0,13.0,1.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,4.0,12.0,1.0,13.0,1.0,1.0,2.4,1.0,0.0,0.0,0.0,0.0,0
40,1.0,2.0,4.0,1.0,11.0,6.0,2.0,12.0,1.0,1.0,4.5,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,22.0,2.0,1.0,14.0,1.0,1.0,1.8,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,14.0,6.0,1.0,13.0,1.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,14.0,6.0,1.0,12.0,1.0,1.0,4.8,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,1.0,4.0,2.0,13.0,1.0,1.0,2.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,4.0,2.0,1.0,13.0,1.0,1.0,1.8,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,16.0,2.0,1.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,13.0,8.0,1.0,12.0,1.0,1.0,3.2,1.0,0.0,0.0,0.0,0.0,1
40,2.0,1.0,5.0,1.0,16.0,10.0,2.0,12.0,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,1
15,1.0,2.0,4.0,1.0,4.0,6.0,1.0,13.0,1.0,1.0,2.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,20.0,1.0,2.0,14.0,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,1.0,1.0,13.0,10.0,2.0,13.0,1.0,1.0,0.8,1.0,4.0,11.0,379.0,0.0,1
40,1.0,1.0,5.0,1.0,13.0,4.0,2.0,13.0,1.0,1.0,1.8,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,10.0,12.0,1.0,12.0,1.0,1.0,2.3,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,1.0,9.0,1.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,12.0,1.0,12.0,1.0,1.0,0.1,1.0,4.0,11.0,255.00455,0.0,1
40,1.0,2.0,4.0,1.0,13.0,5.0,1.0,14.0,3.0,1.0,1.1,1.0,3.0,7.0,315.2679,0.0,1
40,1.0,2.0,4.0,1.0,4.0,3.0,2.0,14.0,1.0,1.0,4.1,1.0,0.0,0.0,0.0,0.0,0
40,1.0,2.0,4.0,1.0,0.0,3.0,1.0,12.0,1.0,1.0,2.4,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,4.0,1.0,2.0,12.0,1.0,1.0,1.1,1.0,0.0,0.0,0.0,0.0,1
15,1.0,2.0,5.0,1.0,22.0,10.0,1.0,8.0,1.0,1.0,0.0,1.0,4.0,11.0,379.0,0.0,1
15,2.0,1.0,5.0,1.0,13.0,8.0,2.0,13.0,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,1
40,2.0,2.0,4.0,1.0,0.0,6.0,2.0,12.0,1.0,1.0,3.9,1.0,0.0,0.0,0.0,0.0,1
40,2.0,2.0,4.0,1.0,10.0,10.0,2.0,13.0,1.0,1.0,86.3,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,8.0,1.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,10.0,4.0,1.0,13.0,1.0,1.0,86.3,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,1.0,8.0,1.0,12.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,7.0,1.0,22.0,5.0,1.0,13.0,1.0,1.0,86.3,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,6.0,1.0,13.0,3.0,2.0,13.0,1.0,1.0,2.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,6.0,1.0,5.0,6.0,1.0,12.0,1.0,1.0,4.066844,1.0,0.0,0.0,0.0,0.0,0
40,1.0,2.0,5.0,1.0,14.0,1.0,1.0,0.0,1.0,1.0,2.5,1.0,4.0,11.0,379.0,0.0,1
40,1.0,2.0,4.0,1.0,0.0,6.0,2.0,13.0,1.0,1.0,1.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,22.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,4.0,11.0,379.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,8.0,1.0,12.0,1.0,1.0,86.3,1.0,0.0,0.0,0.0,0.0,1
40,2.0,1.0,4.0,1.0,0.0,5.0,2.0,13.0,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,1
15,1.0,2.0,5.0,1.0,3.0,4.0,1.0,12.0,1.0,1.0,1.7,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,14.0,2.0,1.0,13.0,1.0,1.0,1.7,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,10.0,2.0,12.0,1.0,1.0,1.3,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,0.0,7.0,2.0,13.0,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,0.0,9.0,2.0,13.0,1.0,1.0,4.2,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,0.0,4.0,1.0,6.0,1.0,1.0,4.017504,1.0,4.0,6.0,379.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,1.0,1.0,13.0,1.0,1.0,3.5,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,0.0,10.0,1.0,13.0,1.0,1.0,1.7,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,13.0,12.0,2.0,12.0,3.0,1.0,2.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1
40,2.0,1.0,5.0,1.0,13.0,9.0,2.0,14.0,1.0,1.0,1.1,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,6.0,1.0,14.0,6.0,1.0,13.0,1.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,10.0,2.0,2.0,13.0,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,11.0,12.0,2.0,12.0,1.0,1.0,1.7,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,10.0,1.0,1.0,13.0,1.0,1.0,1.8,1.0,4.0,11.0,379.0,0.0,1
15,1.0,2.0,4.0,1.0,13.0,5.0,2.0,9.0,1.0,1.0,2.6,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,7.0,1.0,2.0,4.0,1.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
15,2.0,2.0,4.0,1.0,10.0,12.0,1.0,13.0,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,2.0,4.0,1.0,12.0,1.0,1.0,2.5,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,7.0,2.0,22.0,1.0,1.0,9.0,1.0,1.0,6.3259325,1.0,0.0,0.0,0.0,0.0,1
40,2.0,1.0,7.0,1.0,20.0,9.0,2.0,0.0,1.0,1.0,2.3,1.0,0.0,0.0,0.0,0.0,1
40,2.0,2.0,4.0,1.0,0.0,4.0,2.0,13.0,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,13.0,4.0,2.0,12.0,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,13.0,9.0,1.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,5.0,10.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
15,1.0,1.0,5.0,1.0,6.0,3.0,1.0,13.0,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,22.0,12.0,1.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,0.0,5.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0
40,1.0,1.0,7.0,1.0,2.0,6.0,1.0,12.0,1.0,1.0,2.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,7.0,1.0,14.0,12.0,1.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,3.0,9.0,1.0,12.0,1.0,1.0,0.7,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,22.0,10.0,2.0,6.0,1.0,1.0,3.0,1.0,0.0,7.0,0.0,0.0,1
40,1.0,2.0,5.0,1.0,22.0,11.0,1.0,13.0,1.0,1.0,2.8,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.9302773,1.0,13.0,12.0,2.0,12.0,1.0,1.0,3.9,1.0,0.0,0.0,0.0,0.0,1
40,1.0,1.0,5.0,1.0,14.0,5.0,1.0,12.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1
40,1.0,2.0,4.0,1.0,16.0,7.0,1.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
